SR. NO.,CLIENT NAME,LIST OF COMPANY,LOCATION,SOURCE COMPANY,Sourcelocation,,LIST OF COMPANY
35,KHAT ALETEBAR ,KHAT  ALETEBAR GENERAL TRADING LLC (NO LETTERHEAD),"Ajman, United Arab Emirates",ODAV & CO.,"Nassau, Bahamas",,KHAT  ALETEBAR GENERAL TRADING LLC (NO LETTERHEAD)
38,ATAKAN,ATAKAN TRADING FZE,"Ajman, United Arab Emirates",SOMER ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI,"Istanbul, Turkey",,ATAKAN TRADING FZE
38,ATAKAN,BANDOLERO BUILDING MATERIALS TRADING LLC,"Dubai, United Arab Emirates",SOMER ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI,"Istanbul, Turkey",,BANDOLERO BUILDING MATERIALS TRADING LLC
38,ATAKAN,RABARBA TRADING FZE,"Umm Al Quwain, United Arab Emirates",SOMER ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI,"Istanbul, Turkey",,RABARBA TRADING FZE
39,PERFECT MOON,PERFECT MOON INTERNATIONAL FZE,"Ajman, United Arab Emirates",HANGZHOU SANTIWAY INTERNATIONAL CO. LTD,"Zhejiang, China",,PERFECT MOON INTERNATIONAL FZE
39,PERFECT MOON,EMERGENCE INTERNATIONAL FZE,"Ajman, United Arab Emirates",ATLAS TRADING CO SRL,"Milan, Italy",,EMERGENCE INTERNATIONAL FZE
41,APAREX,APAREX GENERAL TRADING LLC,"Dubai, United Arab Emirates","SUIZHOU WANRUI AUTO PARTS CO., LTD","Suizhou, China",,APAREX GENERAL TRADING LLC
42,QLIQ,QLIQ TRADING FCZO,"Dubai, United Arab Emirates",QINGDAO WANFANG YUSHENG ELECTRICAL EQUIPMENT CO LTD,"Qingdao,China",,QLIQ TRADING FCZO
42,QLIQ,SMS ELECTRONICS LLC,"Dubai, United Arab Emirates","POWER ELECTRONICS , ESPANA","Barcelona, Spain",,SMS ELECTRONICS LLC
43,JAZIRA DAS,JASIRA DAS INTERNATIONAL REFINDED OIL PRODUCTS TRADING LLC,"Dubai, United Arab Emirates",KUNLUN HOLDING COMPANY LTD,"Shanghai, China",,JASIRA DAS INTERNATIONAL REFINDED OIL PRODUCTS TRADING LLC
44,CAPITAL,CAPITAL ARENA GENERAL TRADING LLC (NO LETTERHEAD),"Dubai, United Arab Emirates",VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS,"Istanbul, Turkey",,CAPITAL ARENA GENERAL TRADING LLC (NO LETTERHEAD)
44,CAPITAL,ISTANBLUE GENERAL TRADING LLC ,"Dubai, United Arab Emirates",VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS,"Istanbul, Turkey",,ISTANBLUE GENERAL TRADING LLC 
44,CAPITAL,ARENA INTERNATIONAL DWCC  (NO LETTERHEAD),"Dubai, United Arab Emirates",VEST LOJISTIK INSAAT SANAYI VE DIS TICARET AS,"Istanbul, Turkey",,ARENA INTERNATIONAL DWCC  (NO LETTERHEAD)
45,AL NOOR,AL NOOR BUILDING MATERIALS TRADING CO LLC (NO LETTERHEAD),"Dubai, United Arab Emirates",YAS FINANCIAL & TRADING INC,"Ontario, Canada",,AL NOOR BUILDING MATERIALS TRADING CO LLC (NO LETTERHEAD)
45,AL NOOR,CENTRAL LINE GENERAL TRADING CO LLC (NO LETTERHEAD),"Dubai, United Arab Emirates",YAS FINANCIAL & TRADING INC,"Ontario, Canada",,CENTRAL LINE GENERAL TRADING CO LLC (NO LETTERHEAD)
45,AL NOOR,DEG GENERAL TRADING LLC (NO LETTERHEAD),"Dubai, United Arab Emirates",YAS FINANCIAL & TRADING INC,"Ontario, Canada",,DEG GENERAL TRADING LLC (NO LETTERHEAD)
