REF,repExporter,cityOfRepExporter,exporter,cityOfExporter,importer,cityOfImporter,repImporter,cityOfrepImporter,Origin,laoding,Discharge,totalAmount,amountToWord,p1name,p1qty,p1unit,p1unitp,p1total,p2name,p2qty,p2unit,p2unitp,p2total,p3name,p3qty,p3unit,p3unitp,p3total,p4name,p4qty,p4unit,p4unitp,p4total,p5name,p5qty,p5unit,p5unitp,p5total,numOfClient,currency,date,amount in words,origin without origin,loading without loading,discharge without discharge,country of manufacture,country of destination,date of PO,date of SQ,date of PI,date of CIorPL,countryOfManufacture,countryOfDestinationWith,datePOWith,dateSQWith,datePIWith,dateCIorPLWith,withcurrency
MIC0191,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",SAKURA JAKARTA TRADING,"Himeji, Japan",,,Origin: India,"Loading: Mumbai, India","Discharge: Himeji, Japan",88633.25,Eighty Eight Thousand Six Hundred Thirty Three 25.0/100 Euros Only,Fixed Platen for Die Casting and Injection Molding Machines,8,PCS,11079.15625,88633.25,,,,,,,,,,,,,,,,,,,,,,EURO,2019-03-06,Amount in words : Eighty Eight Thousand Six Hundred Thirty Three 25.0/100 Euros Only,India,"Mumbai, India","Himeji, Japan",INDIA,JAPAN,"=TEXT(AP2 -30,""dd/mm/yyyy"")","=TEXT(AP2 -31,""dd/mm/yyyy"")","=TEXT(AP2 -25,""dd/mm/yyyy"")","=TEXT(AP2 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : JAPAN,"=""Date: "" & (TEXT(AP2 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 +10,""dd/mm/yyyy""))",currency : EURO
MIC0192,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",SUZHOU CLEANSTAR ELECTRIC APPLIANCE CO. LTD,"Shanghai, China",VIRGIL FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Shanghai, China",262139.91,Two Hundred Sixty Two Thousand One Hundred Thirty Nine 91.0/100 Dirhams Only,Aiyia Galvanized Steel Coil/Sheet/Plate/Strip Made in China,79,TONS,3318.2267088607596,262139.91,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-13,Amount in words : Two Hundred Sixty Two Thousand One Hundred Thirty Nine 91.0/100 Dirhams Only,India,"Mumbai, India","Shanghai, China",INDIA,CHINA,"=TEXT(AP3 -30,""dd/mm/yyyy"")","=TEXT(AP3 -31,""dd/mm/yyyy"")","=TEXT(AP3 -25,""dd/mm/yyyy"")","=TEXT(AP3 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : CHINA,"=""Date: "" & (TEXT(AP3 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 +10,""dd/mm/yyyy""))",currency : AED
MIC0194-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",ASOLO POLIMERI S.R.L.,"Via Del Lavoro, Italy",NIMA GENERAL TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Via Del Lavoro, Italy",780685.0,Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,Two Head Ruidi 1325 Laser Cutting Engraving Machine,30,PCS,26022.833333333332,780685.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-30,Amount in words : Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,India,"Mumbai, India","Via Del Lavoro, Italy",INDIA,ITALY,"=TEXT(AP4 -30,""dd/mm/yyyy"")","=TEXT(AP4 -31,""dd/mm/yyyy"")","=TEXT(AP4 -25,""dd/mm/yyyy"")","=TEXT(AP4 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : ITALY,"=""Date: "" & (TEXT(AP4 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 +10,""dd/mm/yyyy""))",currency : AED
MIC0190-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",ECOLEX SDN BHD,"Pulau Indah, Malaysia",,,Origin: India,"Loading: Mumbai, India","Discharge: Pulau Indah, Malaysia",111200.0,One Hundred Eleven Thousand Two Hundred Dirhams Only,Farm Water Pump Hose Reel Irrigation Machine,4,SETS,27800.0,111200.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-03,Amount in words : One Hundred Eleven Thousand Two Hundred Dirhams Only,India,"Mumbai, India","Pulau Indah, Malaysia",INDIA,MALAYSIA,"=TEXT(AP5 -30,""dd/mm/yyyy"")","=TEXT(AP5 -31,""dd/mm/yyyy"")","=TEXT(AP5 -25,""dd/mm/yyyy"")","=TEXT(AP5 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : MALAYSIA,"=""Date: "" & (TEXT(AP5 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 +10,""dd/mm/yyyy""))",currency : AED
MIC0195,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",IAM GMBH,"Kaarst, Germany",FLUXSMOOTH TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Kaarst, Germany",2063500.0,Two Million Sixty Three Thousand Five Hundred Dirhams Only,Cement Hollow Brick Machine,11,PCS,187590.9090909091,2063500.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-15,Amount in words : Two Million Sixty Three Thousand Five Hundred Dirhams Only,India,"Mumbai, India","Kaarst, Germany",INDIA,GERMANY,"=TEXT(AP6 -30,""dd/mm/yyyy"")","=TEXT(AP6 -31,""dd/mm/yyyy"")","=TEXT(AP6 -25,""dd/mm/yyyy"")","=TEXT(AP6 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : GERMANY,"=""Date: "" & (TEXT(AP6 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 +10,""dd/mm/yyyy""))",currency : AED
MIC0198,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",TODINI DISTRIBUTION OF CHEMICAL PRODUCTS,"Monza, Italia",VELTON INTERNATINA,"Ras Al Khaimah, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Monza, Italia",74175.0,Seventy Four Thousand One Hundred Seventy Five Euros Only,Hydraulic Borehole Drilling Rig Machine,3,PCS,24725.0,74175.0,,,,,,,,,,,,,,,,,,,,,,EURO,2019-04-21,Amount in words : Seventy Four Thousand One Hundred Seventy Five Euros Only,India,"Mumbai, India","Monza, Italia",INDIA,ITALIA,"=TEXT(AP7 -30,""dd/mm/yyyy"")","=TEXT(AP7 -31,""dd/mm/yyyy"")","=TEXT(AP7 -25,""dd/mm/yyyy"")","=TEXT(AP7 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : ITALIA,"=""Date: "" & (TEXT(AP7 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 +10,""dd/mm/yyyy""))",currency : EURO
MIC0199,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",ADII SYNERGY SDN BHD,"Kuala Lumpur, Malaysia",GUDENSBERGINTERNATIONAL TRADING FZE,"Ajman, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Kuala Lumpur, Malaysia",1153079.0,One Million One Hundred Fifty Three Thousand Seventy Nine Dirhams Only,70HP Small Farm Tractor 4WD Agricultural Machinery,28,PCS,41181.392857142855,1153079.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-27,Amount in words : One Million One Hundred Fifty Three Thousand Seventy Nine Dirhams Only,India,"Mumbai, India","Kuala Lumpur, Malaysia",INDIA,MALAYSIA,"=TEXT(AP8 -30,""dd/mm/yyyy"")","=TEXT(AP8 -31,""dd/mm/yyyy"")","=TEXT(AP8 -25,""dd/mm/yyyy"")","=TEXT(AP8 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : MALAYSIA,"=""Date: "" & (TEXT(AP8 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 +10,""dd/mm/yyyy""))",currency : AED
MIC0197-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",BENELUX OVERSEAS INC,"Posidonos, Greece",NIMA GENERAL TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Posidonos, Greece",780685.0,Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,Rubber Open Mixing Mill with BV ISO SGS,2,PCS,390342.5,780685.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-15,Amount in words : Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,India,"Mumbai, India","Posidonos, Greece",INDIA,GREECE,"=TEXT(AP9 -30,""dd/mm/yyyy"")","=TEXT(AP9 -31,""dd/mm/yyyy"")","=TEXT(AP9 -25,""dd/mm/yyyy"")","=TEXT(AP9 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : GREECE,"=""Date: "" & (TEXT(AP9 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 +10,""dd/mm/yyyy""))",currency : AED
