REF,repExporter,cityOfRepExporter,exporter,cityOfExporter,importer,cityOfImporter,repImporter,cityOfrepImporter,Origin,laoding,Discharge,totalAmount,amountToWord,p1name,p1qty,p1unit,p1unitp,p1total,p2name,p2qty,p2unit,p2unitp,p2total,p3name,p3qty,p3unit,p3unitp,p3total,p4name,p4qty,p4unit,p4unitp,p4total,p5name,p5qty,p5unit,p5unitp,p5total,numOfClient,currency,date,amount in words,origin without origin,loading without loading,discharge without discharge,country of manufacture,country of destination,date of PO,date of SQ,date of PI,date of CIorPL,countryOfManufacture,countryOfDestinationWith,datePOWith,dateSQWith,datePIWith,dateCIorPLWith,withcurrency
MIC0191,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",SAKURA JAKARTA TRADING,"Himeji, Japan",,,Origin: India,"Loading: Mumbai, India","Discharge: Himeji, Japan",88633.25,Eighty Eight Thousand Six Hundred Thirty Three 25.0/100 Euros Only,High Quality Porcelain Whiteboard Steel From Senko Industry,49,TONS,1808.841836734694,88633.25,,,,,,,,,,,,,,,,,,,,,,EURO,2019-03-06,Amount in words : Eighty Eight Thousand Six Hundred Thirty Three 25.0/100 Euros Only,India,"Mumbai, India","Himeji, Japan",INDIA,JAPAN,"=TEXT(AP2 -30,""dd/mm/yyyy"")","=TEXT(AP2 -31,""dd/mm/yyyy"")","=TEXT(AP2 -25,""dd/mm/yyyy"")","=TEXT(AP2 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : JAPAN,"=""Date: "" & (TEXT(AP2 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP2 +10,""dd/mm/yyyy""))",currency : EURO
MIC0192,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",AGULEJOS GIMENEZ,"Murcia, Spain",VIRGIL FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Murcia, Spain",262139.91,Two Hundred Sixty Two Thousand One Hundred Thirty Nine 91.0/100 Dirhams Only,"[817m40+Q/T] Forged Round Steel with Fixed Length, Round Bar",57,TONS,4598.945789473684,262139.91,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-13,Amount in words : Two Hundred Sixty Two Thousand One Hundred Thirty Nine 91.0/100 Dirhams Only,India,"Mumbai, India","Murcia, Spain",INDIA,SPAIN,"=TEXT(AP3 -30,""dd/mm/yyyy"")","=TEXT(AP3 -31,""dd/mm/yyyy"")","=TEXT(AP3 -25,""dd/mm/yyyy"")","=TEXT(AP3 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : SPAIN,"=""Date: "" & (TEXT(AP3 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP3 +10,""dd/mm/yyyy""))",currency : AED
MIC0194-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",ForFarmers N.V.,"Lochem, Netherlands",NIMA GENERAL TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Lochem, Netherlands",780685.0,Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,Food Container Plate Thermoforming Machine,2,PCS,390342.5,780685.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-30,Amount in words : Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,India,"Mumbai, India","Lochem, Netherlands",INDIA,NETHERLANDS,"=TEXT(AP4 -30,""dd/mm/yyyy"")","=TEXT(AP4 -31,""dd/mm/yyyy"")","=TEXT(AP4 -25,""dd/mm/yyyy"")","=TEXT(AP4 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : NETHERLANDS,"=""Date: "" & (TEXT(AP4 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP4 +10,""dd/mm/yyyy""))",currency : AED
MIC0190-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",ECOLEX SDN BHD,"Pulau Indah, Malaysia",,,Origin: India,"Loading: Mumbai, India","Discharge: Pulau Indah, Malaysia",111200.0,One Hundred Eleven Thousand Two Hundred Dirhams Only,High Quality Carbon Steel Wire Rod for Drawing Building Industry,30,TONS,3706.6666666666665,111200.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-03-03,Amount in words : One Hundred Eleven Thousand Two Hundred Dirhams Only,India,"Mumbai, India","Pulau Indah, Malaysia",INDIA,MALAYSIA,"=TEXT(AP5 -30,""dd/mm/yyyy"")","=TEXT(AP5 -31,""dd/mm/yyyy"")","=TEXT(AP5 -25,""dd/mm/yyyy"")","=TEXT(AP5 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : MALAYSIA,"=""Date: "" & (TEXT(AP5 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP5 +10,""dd/mm/yyyy""))",currency : AED
MIC0195,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",CEMBRIT HOLDING,"Aalborg, Denmark",FLUXSMOOTH TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Aalborg, Denmark",2063500.0,Two Million Sixty Three Thousand Five Hundred Dirhams Only,Sesame Seed Cleaning Machine,46,SETS,44858.69565217391,2063500.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-15,Amount in words : Two Million Sixty Three Thousand Five Hundred Dirhams Only,India,"Mumbai, India","Aalborg, Denmark",INDIA,DENMARK,"=TEXT(AP6 -30,""dd/mm/yyyy"")","=TEXT(AP6 -31,""dd/mm/yyyy"")","=TEXT(AP6 -25,""dd/mm/yyyy"")","=TEXT(AP6 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : DENMARK,"=""Date: "" & (TEXT(AP6 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP6 +10,""dd/mm/yyyy""))",currency : AED
MIC0198,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",INSPECTORATE GRIFFITH INDIA PVT. LTD,"Kolkata, India",VELTON INTERNATINA,"Ras Al Khaimah, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Kolkata, India",74175.0,Seventy Four Thousand One Hundred Seventy Five Euros Only,Suntech Perfect Edge Alignment Textile Fabric Folding and Rolling Machine,8,SETS,9271.875,74175.0,,,,,,,,,,,,,,,,,,,,,,EURO,2019-04-21,Amount in words : Seventy Four Thousand One Hundred Seventy Five Euros Only,India,"Mumbai, India","Kolkata, India",INDIA,INDIA,"=TEXT(AP7 -30,""dd/mm/yyyy"")","=TEXT(AP7 -31,""dd/mm/yyyy"")","=TEXT(AP7 -25,""dd/mm/yyyy"")","=TEXT(AP7 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : INDIA,"=""Date: "" & (TEXT(AP7 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP7 +10,""dd/mm/yyyy""))",currency : EURO
MIC0199,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",INDIA CEMENT,"Tamil Nadu, India",GUDENSBERGINTERNATIONAL TRADING FZE,"Ajman, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Tamil Nadu, India",1153079.0,One Million One Hundred Fifty Three Thousand Seventy Nine Dirhams Only,Steel Industry Rolling Bearing Motor,10,PCS,115307.9,1153079.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-27,Amount in words : One Million One Hundred Fifty Three Thousand Seventy Nine Dirhams Only,India,"Mumbai, India","Tamil Nadu, India",INDIA,INDIA,"=TEXT(AP8 -30,""dd/mm/yyyy"")","=TEXT(AP8 -31,""dd/mm/yyyy"")","=TEXT(AP8 -25,""dd/mm/yyyy"")","=TEXT(AP8 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : INDIA,"=""Date: "" & (TEXT(AP8 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP8 +10,""dd/mm/yyyy""))",currency : AED
MIC0197-CL,MICROBIZ PIPING AND MACHINERY EQUIPMENTS TRADING FZE,"Ajman, U.A.E",ATLAS MACHINES INDIA,"Mumbai, India",GTEC AUTOMOBILE PTE LTD.,"Padova, Italy",NIMA GENERAL TRADING FZE,"Dubai, U.A.E",Origin: India,"Loading: Mumbai, India","Discharge: Padova, Italy",780685.0,Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,High Quality Farm Center Pivot Irrigation Machine,4,SETS,195171.25,780685.0,,,,,,,,,,,,,,,,,,,,,,AED,2019-04-15,Amount in words : Seven Hundred Eighty Thousand Six Hundred Eighty Five Dirhams Only,India,"Mumbai, India","Padova, Italy",INDIA,ITALY,"=TEXT(AP9 -30,""dd/mm/yyyy"")","=TEXT(AP9 -31,""dd/mm/yyyy"")","=TEXT(AP9 -25,""dd/mm/yyyy"")","=TEXT(AP9 +10,""dd/mm/yyyy"")",COUNTRY OF MANUFACTURE : INDIA,COUNTRY OF DESTINATION : ITALY,"=""Date: "" & (TEXT(AP9 -30,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 -31,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 -25,""dd/mm/yyyy""))","=""Date: "" & (TEXT(AP9 +10,""dd/mm/yyyy""))",currency : AED
